id,match_type,similarity,similarity_offset,vec_sim,hybrid_sim,levenshtein,stoilos,fuzzy_score,metriclcs,tfidf_cosine,dice,monge_elkan,parent_overlap,children_overlap,avg_context_overlap,prefix_overlap,suffix_overlap,context_string_overlap,context_string_overlap_offset,has_parents,has_children,depth_difference,class
CMT-AuthorNotReviewer-CONFERENCE-Regular_author,Type1,0.5136,-0.3064,0.5092,0.5092,0.1579,0.5136,0.0364,0.3158,0.4232,0.2759,0.589,0.1467,0,0.0913,0.0,0.07142857142857142,0.2524,0.1541,both,one,0.25,N
CMT-Person-CONFERENCE-Person,Type1,1,0.7258,1,1,1,1,1,1,1,1,1,0,0.7241,0.2414,1.0,1.0,0.6292,0.4554,none,both,0.0,Y
CMT-ExternalReviewer-CONFERENCE-Reviewer,Type1,0.8333,0.0606,0.5564,0.5564,0.4706,0.8333,0.4082,0.4706,0.5588,0.5714,0.7906,1,0,0.5747,0.0,1.0,1,0.88,both,none,0.0,N
CMT-ConferenceChair-CONFERENCE-Conference_announcement,Type1,0.7587,-0.008,0.6585,0.6585,0.5217,0.7587,0.4776,0.5217,0.2352,0.5294,0.6245,0.5722,0,0.3197,0.6875,0.0,0.5722,0.0703,both,none,0.0,N
CMT-Reviewer-CONFERENCE-Reviewer,Type1,1,0.0429,1,1,1,1,1,1,1,1,1,0.3472,0,0.3571,1.0,1.0,0.1606,-0.0973,both,one,0.25,N
CMT-Author-CONFERENCE-Regular_author,Type1,0.8158,0.3857,0.5035,0.5035,0.4286,0.8158,0.025,0.4286,0.7695,0.5,0.7638,0.6609,0.7745,0.6286,0.0,1.0,0.6842,0.6842,both,both,0.0,Y
CMT-Review-CONFERENCE-Review,Type1,1,0.1286,1,1,1,1,1,1,1,1,1,0.5673,0,0.3117,1.0,1.0,0.342,0.342,both,one,0.33333333333333337,Y
CMT-Conference-CONFERENCE-Conference,Type1,1,0.1125,1,1,1,1,1,1,1,1,1,0,0,0,1.0,1.0,0,0,none,one,0.5,Y
CMT-Document-CONFERENCE-Conference_document,Type1,0.943,0.4942,0.5673,0.5673,0.4211,0.8077,0.0182,0.4211,0.943,0.5217,0.7906,0,1,0.3333,0.0,1.0,0.2416,0.1438,none,both,0.16666666666666669,Y
CMT-PaperAbstract-CONFERENCE-Paper,Type1,0.8667,-0.0143,0.6402,0.6402,0.3571,0.8667,0.325,0.3571,0.5588,0.4,0.7746,0.0834,0,0.102,1.0,0.0,0.0834,-0.0568,both,none,0.0,N
CMT-PaperFullVersion-CONFERENCE-Call_for_paper,Type1,0.4784,-0.3645,0.4784,0.4784,0.2222,0.467,0,0.3333,0.2582,0.2857,0.6221,0.2589,0,0.1312,0.0,0.0,0.2589,0.1755,both,none,0.0,N
CMT-AssociatedChair-CONFERENCE-Chair,Type1,0.75,0.25,0.5,0.5,0.3125,0.75,0.2391,0.3125,0.5588,0.3529,0.7746,0.6598,0,0.352,0.0,1.0,0.6598,0.4828,both,none,0.0,N
CMT-Paper-CONFERENCE-Paper,Type1,1,0.2059,1,1,1,1,1,1,1,1,1,0.0305,0,0.0306,1.0,1.0,0.1097,-0.2872,both,one,0.33333333333333337,N
CMT-Chairman-CONFERENCE-Chair,Type1,0.9308,0.4308,0.6161,0.6161,0.625,0.9308,0.5909,0.625,0,0.6667,1,0.2384,0,0.1531,1.0,0.0,0.2384,-0.0149,both,none,0.0,Y
CMT-ProgramCommitteeMember-CONFERENCE-Program_committee,Type1,0.9526,0.0472,0.7732,0.7732,0.7083,0.9526,0.7,0.7083,0.7459,0.8108,0.866,0.2739,0,0.2021,1.0,0.0,0.3661,-0.1459,both,one,0.33333333333333337,N
CMT-ProgramCommittee-CONFERENCE-Program_committee,Type1,1,0.3108,1,1,1,1,1,1,0.9711,1,1,0,0,0,1.0,1.0,0,0,one,none,0.0,Y
CMT-Preference-CONFERENCE-Review_preference,Type1,0.8846,0.7022,0.5318,0.5318,0.5882,0.8846,0.0816,0.5882,0.8075,0.6957,0.8165,0,0,0,0.0,1.0,1,1,none,none,0.0,Y
CMT-ConferenceMember-CONFERENCE-Conference_participant,Type1,0.7507,-0.0011,0.718,0.718,0.5,0.7507,0.4844,0.5455,0.2813,0.5143,0.6236,1,0.4555,0.7265,0.6470588235294118,0.0,0.4031,-0.1187,both,both,0.0,N
CMT-ProgramCommitteeChair-CONFERENCE-Program_committee,Type1,0.9595,0.3368,0.7745,0.7745,0.7391,0.9595,0.7313,0.7391,0.7929,0.8333,0.8563,0.4973,0,0.1658,1.0,0.0,0.4973,0.2001,both,none,0.0,N
